C:\xampp\mysql\bin\mysqld.exe, Version: 10.4.28-MariaDB-log (mariadb.org binary distribution). started with:
TCP Port: 3306, Named Pipe: C:/xampp/mysql/mysql.sock
Time		    Id Command	Argument
251126  2:51:45	     8 Connect	root@localhost as anonymous on 
		     8 Query	select @@version_comment limit 1
251126  2:51:55	     8 Query	SELECT DATABASE()
		     8 Init DB	practica
251126  2:52:03	     8 Query	select * from proveedores
251126  3:04:06	     8 Quit	
251126 14:08:13	    19 Connect	root@localhost as anonymous on 
		    19 Query	select @@version_comment limit 1
251126 14:08:27	    19 Query	SELECT user, host FROM mysql.user
251126 14:10:13	    19 Query	CREATE USER 'sandbox_user'@'localhost' IDENTIFIED BY ''
251126 14:10:42	    19 Query	GRANT ALL PRIVILEGES ON practica.* TO 'sandbox_user'@'localhost'
251126 14:10:49	    19 Query	FLUSH PRIVILEGES
251126 14:10:56	    19 Query	SELECT user, host FROM mysql.user
251126 14:15:51	    19 Query	show databases
251126 14:17:57	    19 Query	drop user 'sandbox_user'@'localhost'
251126 14:18:02	    19 Query	SELECT user, host FROM mysql.user
251126 14:18:40	    19 Query	CREATE USER 'sandbox_user'@'localhost' IDENTIFIED BY ''
251126 14:19:14	    19 Query	GRANT ALL PRIVILEGES ON sandbox_practica.* TO 'sandbox_user'@'localhost'
251126 14:19:24	    19 Query	FLUSH PRIVILEGES
251126 14:19:29	    19 Query	SELECT user, host FROM mysql.user
251126 14:22:14	    19 Query	show databases
251126 14:29:30	    19 Query	drop user sandbox_practica
251126 14:29:40	    19 Query	drop user sandbox_user
251126 14:29:49	    19 Query	drop user sandbox_user@localhost
251126 14:30:03	    19 Query	CREATE USER 'sandbox_user'@'localhost' IDENTIFIED BY '123'
251126 14:30:10	    19 Query	GRANT ALL PRIVILEGES ON sandbox_practica.* TO 'sandbox_user'@'localhost'
251126 14:30:14	    19 Query	FLUSH PRIVILEGES
251126 14:30:17	    19 Query	SELECT user, host FROM mysql.user
251126 14:33:41	    19 Query	SELECT user, host, plugin FROM mysql.user WHERE user='sandbox_user'
251126 14:34:35	    19 Query	drop user sandbox_user@localhost
251126 14:35:00	    19 Query	CREATE USER 'sandbox_user'@'localhost' IDENTIFIED WITH mysql_native_password BY '123'
251126 14:35:39	    19 Query	CREATE USER 'sandbox_user'@'localhost' IDENTIFIED WITH mysql_native_password BY '123'
251126 14:37:16	    19 Query	CREATE USER 'sandbox_user'@'localhost' IDENTIFIED BY '123'
251126 14:37:21	    19 Query	GRANT ALL PRIVILEGES ON sandbox_practica.* TO 'sandbox_user'@'localhost'
251126 14:37:24	    19 Query	FLUSH PRIVILEGES
251126 14:37:28	    19 Query	SELECT user, host FROM mysql.user
251126 14:37:55	    19 Query	SELECT user, host, plugin FROM mysql.user WHERE user='sandbox_user'
251126 14:38:56	    19 Quit	
251126 14:39:20	    25 Connect	sandbox_user@localhost as anonymous on sandbox_practica
		    25 Query	select @@version_comment limit 1
251126 14:42:08	    25 Quit	
