260112 21:45:01	1 Connect	user1@localhost on practica using TCP/IP
260112 21:45:48	1 Query	SELECT * FROM proveedores
260112 21:47:42	1 Query	SELECT * FROM ventas
260112 21:49:37	1 Query	SHOW TABLES
260112 21:50:17	1 Quit	
260112 21:27:01	2 Connect	user2@localhost on practica using TCP/IP
260112 21:27:39	2 Query	SHOW TABLES
260112 21:29:07	2 Query	UPDATE articulos SET ART_PV = ART_PV + 1 WHERE ART_NUM = 101
260112 21:30:52	2 Query	SHOW COLUMNS FROM articulos
260112 21:32:39	2 Query	SELECT * FROM ventas
260112 21:33:02	2 Query	SHOW COLUMNS FROM articulos
260112 21:33:45	2 Quit	
260112 21:11:01	3 Connect	user3@localhost on practica using TCP/IP
260112 21:12:35	3 Query	UPDATE articulos SET ART_PV = ART_PV + 1 WHERE ART_NUM = 101
260112 21:13:19	3 Query	SELECT * FROM ventas
260112 21:13:25	3 Query	SHOW TABLES
260112 21:13:30	3 Query	UPDATE articulos SET ART_PV = ART_PV + 1 WHERE ART_NUM = 101
260112 21:14:01	3 Quit	
260112 20:44:01	4 Connect	user4@localhost on practica using TCP/IP
260112 20:45:50	4 Query	SHOW TABLES
260112 20:47:43	4 Query	SHOW COLUMNS FROM articulos
260112 20:49:06	4 Query	SELECT * FROM proveedores
260112 20:50:39	4 Query	UPDATE articulos SET ART_PV = ART_PV + 1 WHERE ART_NUM = 101
260112 20:51:12	4 Query	SELECT * FROM clientes
260112 20:51:57	4 Query	DELETE FROM ventas WHERE VNT_CANT = 0
260112 20:52:46	4 Quit	
260112 20:37:01	5 Connect	user5@localhost on practica using TCP/IP
260112 20:37:10	5 Query	SELECT * FROM clientes
260112 20:39:06	5 Query	DELETE FROM ventas WHERE VNT_CANT = 0
260112 20:39:20	5 Query	SELECT * FROM clientes
260112 20:40:03	5 Quit	
260112 20:29:01	6 Connect	user6@localhost on practica using TCP/IP
260112 20:29:17	6 Query	SELECT * FROM proveedores
260112 20:29:31	6 Query	UPDATE articulos SET ART_PV = ART_PV + 1 WHERE ART_NUM = 101
260112 20:30:23	6 Query	SELECT * FROM articulos
260112 20:31:31	6 Query	SELECT * FROM articulos
260112 20:33:00	6 Query	SELECT * FROM proveedores
260112 20:34:02	6 Query	SHOW COLUMNS FROM articulos
260112 20:34:52	6 Quit	
260112 20:15:01	7 Connect	user7@localhost on practica using TCP/IP
260112 20:16:14	7 Query	SELECT * FROM clientes
260112 20:18:02	7 Query	SELECT * FROM articulos
260112 20:19:48	7 Query	DELETE FROM ventas WHERE VNT_CANT = 0
260112 20:20:46	7 Query	SELECT * FROM ventas
260112 20:21:16	7 Quit	
260112 19:30:01	8 Connect	user8@localhost on practica using TCP/IP
260112 19:31:17	8 Query	SHOW COLUMNS FROM articulos
260112 19:32:31	8 Query	UPDATE articulos SET ART_PV = ART_PV + 1 WHERE ART_NUM = 101
260112 19:33:47	8 Query	UPDATE articulos SET ART_PV = ART_PV + 1 WHERE ART_NUM = 101
260112 19:33:54	8 Query	SHOW COLUMNS FROM articulos
260112 19:34:10	8 Query	SELECT * FROM clientes
260112 19:34:50	8 Quit	
260112 19:04:01	9 Connect	user9@localhost on practica using TCP/IP
260112 19:05:59	9 Query	SELECT * FROM clientes
260112 19:06:39	9 Query	SELECT * FROM clientes
260112 19:07:00	9 Query	UPDATE articulos SET ART_PV = ART_PV + 1 WHERE ART_NUM = 101
260112 19:07:19	9 Query	SELECT * FROM proveedores
260112 19:08:13	9 Quit	
260112 18:38:01	10 Connect	user10@localhost on practica using TCP/IP
260112 18:38:15	10 Query	SELECT * FROM proveedores
260112 18:38:48	10 Query	DELETE FROM ventas WHERE VNT_CANT = 0
260112 18:39:17	10 Query	SELECT * FROM articulos
260112 18:39:24	10 Query	SHOW TABLES
260112 18:39:46	10 Query	SELECT * FROM ventas
260112 18:40:02	10 Quit	
260112 17:54:01	11 Connect	user11@localhost on practica using TCP/IP
260112 17:54:58	11 Query	SELECT * FROM clientes
260112 17:56:15	11 Query	DELETE FROM ventas WHERE VNT_CANT = 0
260112 17:56:42	11 Quit	
260112 17:45:01	12 Connect	user12@localhost on practica using TCP/IP
260112 17:45:39	12 Query	SELECT * FROM articulos
260112 17:47:17	12 Query	SELECT * FROM ventas
260112 17:47:27	12 Query	SELECT * FROM clientes
260112 17:49:25	12 Query	SELECT * FROM ventas
260112 17:50:47	12 Query	SELECT * FROM proveedores
260112 17:51:16	12 Quit	
260112 17:25:01	13 Connect	user13@localhost on practica using TCP/IP
260112 17:26:54	13 Query	SELECT * FROM proveedores
260112 17:27:38	13 Query	SELECT * FROM ventas
260112 17:29:22	13 Query	DELETE FROM ventas WHERE VNT_CANT = 0
260112 17:30:35	13 Query	SHOW TABLES
260112 17:31:30	13 Query	SELECT * FROM proveedores
260112 17:31:57	13 Query	DELETE FROM ventas WHERE VNT_CANT = 0
260112 17:32:34	13 Quit	
260112 16:50:01	14 Connect	user14@localhost on practica using TCP/IP
260112 16:51:00	14 Query	UPDATE articulos SET ART_PV = ART_PV + 1 WHERE ART_NUM = 101
260112 16:52:16	14 Query	DELETE FROM ventas WHERE VNT_CANT = 0
260112 16:52:40	14 Query	SELECT * FROM articulos
260112 16:53:45	14 Query	SELECT * FROM ventas
260112 16:54:35	14 Quit	
260112 16:09:01	15 Connect	user15@localhost on practica using TCP/IP
260112 16:10:50	15 Query	SELECT * FROM articulos
260112 16:11:53	15 Query	SELECT * FROM clientes
260112 16:12:33	15 Query	SELECT * FROM articulos
260112 16:12:55	15 Query	DELETE FROM ventas WHERE VNT_CANT = 0
260112 16:13:11	15 Query	UPDATE articulos SET ART_PV = ART_PV + 1 WHERE ART_NUM = 101
260112 16:14:07	15 Quit	
260112 15:54:01	16 Connect	user16@localhost on practica using TCP/IP
260112 15:55:57	16 Query	DELETE FROM ventas WHERE VNT_CANT = 0
260112 15:56:59	16 Query	SELECT * FROM articulos
260112 15:57:24	16 Query	SELECT * FROM proveedores
260112 15:57:49	16 Quit	
260112 15:47:01	17 Connect	user17@localhost on practica using TCP/IP
260112 15:48:37	17 Query	SELECT * FROM articulos
260112 15:50:35	17 Query	SELECT * FROM clientes
260112 15:52:24	17 Query	SELECT * FROM articulos
260112 15:53:19	17 Query	SELECT * FROM proveedores
260112 15:54:18	17 Query	SELECT * FROM proveedores
260112 15:55:14	17 Quit	
260112 15:13:01	18 Connect	user18@localhost on practica using TCP/IP
260112 15:13:26	18 Query	SHOW TABLES
260112 15:14:01	18 Query	SHOW TABLES
260112 15:14:55	18 Query	SHOW TABLES
260112 15:15:48	18 Quit	
260112 15:08:01	19 Connect	user19@localhost on practica using TCP/IP
260112 15:09:38	19 Query	SELECT * FROM clientes
260112 15:10:15	19 Query	SELECT * FROM ventas
260112 15:11:35	19 Query	DELETE FROM ventas WHERE VNT_CANT = 0
260112 15:12:54	19 Query	SELECT * FROM ventas
260112 15:13:06	19 Quit	
260112 14:26:01	20 Connect	user20@localhost on practica using TCP/IP
260112 14:26:10	20 Query	SELECT * FROM proveedores
260112 14:27:02	20 Query	SHOW TABLES
260112 14:28:55	20 Query	SHOW COLUMNS FROM articulos
260112 14:30:37	20 Query	UPDATE articulos SET ART_PV = ART_PV + 1 WHERE ART_NUM = 101
260112 14:32:30	20 Query	SHOW COLUMNS FROM articulos
260112 14:32:46	20 Quit	
260112 13:56:01	21 Connect	user21@localhost on practica using TCP/IP
260112 13:56:29	21 Query	SELECT * FROM clientes
260112 13:57:47	21 Query	DELETE FROM ventas WHERE VNT_CANT = 0
260112 13:58:21	21 Query	SELECT * FROM ventas
260112 13:59:19	21 Query	SELECT * FROM articulos
260112 14:00:01	21 Quit	
260112 13:45:01	22 Connect	user22@localhost on practica using TCP/IP
260112 13:45:25	22 Query	SELECT * FROM proveedores
260112 13:45:51	22 Query	SELECT * FROM articulos
260112 13:47:26	22 Query	SHOW TABLES
260112 13:47:33	22 Quit	
260112 13:01:01	23 Connect	user23@localhost on practica using TCP/IP
260112 13:02:43	23 Query	DELETE FROM ventas WHERE VNT_CANT = 0
260112 13:03:23	23 Query	SELECT * FROM ventas
260112 13:03:48	23 Query	SELECT * FROM ventas
260112 13:04:28	23 Quit	
260112 12:45:01	24 Connect	user24@localhost on practica using TCP/IP
260112 12:45:28	24 Query	SELECT * FROM clientes
260112 12:45:54	24 Query	SELECT * FROM proveedores
260112 12:46:46	24 Query	UPDATE articulos SET ART_PV = ART_PV + 1 WHERE ART_NUM = 101
260112 12:48:19	24 Query	UPDATE articulos SET ART_PV = ART_PV + 1 WHERE ART_NUM = 101
260112 12:48:57	24 Quit	
260112 12:19:01	25 Connect	user25@localhost on practica using TCP/IP
260112 12:20:49	25 Query	DELETE FROM ventas WHERE VNT_CANT = 0
260112 12:21:08	25 Query	SELECT * FROM proveedores
260112 12:22:38	25 Query	UPDATE articulos SET ART_PV = ART_PV + 1 WHERE ART_NUM = 101
260112 12:24:04	25 Query	SELECT * FROM ventas
260112 12:24:22	25 Query	SELECT * FROM proveedores
260112 12:25:12	25 Quit	
260112 12:12:01	26 Connect	user26@localhost on practica using TCP/IP
260112 12:13:30	26 Query	SHOW TABLES
260112 12:14:13	26 Query	SHOW TABLES
260112 12:14:40	26 Query	SHOW COLUMNS FROM articulos
260112 12:14:50	26 Quit	
260112 11:51:01	27 Connect	user27@localhost on practica using TCP/IP
260112 11:51:19	27 Query	UPDATE articulos SET ART_PV = ART_PV + 1 WHERE ART_NUM = 101
260112 11:51:33	27 Query	SELECT * FROM ventas
260112 11:52:02	27 Query	SELECT * FROM articulos
260112 11:53:27	27 Query	SELECT * FROM articulos
260112 11:54:25	27 Quit	
260112 11:20:01	28 Connect	user28@localhost on practica using TCP/IP
260112 11:22:00	28 Query	SELECT * FROM clientes
260112 11:22:29	28 Query	SELECT * FROM proveedores
260112 11:24:24	28 Query	SELECT * FROM articulos
260112 11:25:56	28 Query	SELECT * FROM articulos
260112 11:27:50	28 Query	SELECT * FROM proveedores
260112 11:28:10	28 Query	SELECT * FROM proveedores
260112 11:28:44	28 Quit	
260112 10:54:01	29 Connect	user29@localhost on practica using TCP/IP
260112 10:54:10	29 Query	UPDATE articulos SET ART_PV = ART_PV + 1 WHERE ART_NUM = 101
260112 10:55:40	29 Query	SELECT * FROM ventas
260112 10:57:34	29 Query	SELECT * FROM clientes
260112 10:59:06	29 Query	SELECT * FROM proveedores
260112 10:59:36	29 Quit	
260112 10:17:01	30 Connect	user30@localhost on practica using TCP/IP
260112 10:18:09	30 Query	SELECT * FROM clientes
260112 10:19:25	30 Query	SELECT * FROM articulos
260112 10:21:00	30 Query	DELETE FROM ventas WHERE VNT_CANT = 0
260112 10:22:14	30 Query	DELETE FROM ventas WHERE VNT_CANT = 0
260112 10:24:00	30 Query	DELETE FROM ventas WHERE VNT_CANT = 0
260112 10:24:19	30 Query	SELECT * FROM clientes
260112 10:24:42	30 Quit	
260112 09:43:01	31 Connect	user31@localhost on practica using TCP/IP
